"Status","Name","Duration in ms","Description"
"skipped","tests.test_reception#test_user_deal_fail","0",""
"passed","tests.test_background#test_admin","1279",""
"failed","tests.test_background#test_admin","1293",""
"skipped","tests.test_reception#test_user_deal_ok","0",""
"passed","tests.test_background#test_admin","1415",""
"skipped","tests.test_reception#test_user_deal_ok2","0",""
"passed","tests.test_background#test_admin","808",""
"passed","tests.test_background#test_admin","735",""
"passed","tests.test_background#test_admin","756",""
